Filename= ASCIIData.txt


Sample     CH4	      CO2	 N2O       Time	            Date
                               
1          2794881    729        182644     9:07:35AM       3/30/2022      
2          54843      0          11352      9:20:55AM       3/30/2022      
3          0          0          1198574    9:34:15AM       3/30/2022      
4          10193      577        71497      9:47:35AM       3/30/2022      
5          1780497    736        146565     10:00:54AM      3/30/2022      
6          54453      932        0          10:14:14AM      3/30/2022      
7          0          680        1150721    10:27:35AM      3/30/2022      
8          10195      825        70380      10:40:55AM      3/30/2022      
9          15495      573        73888      10:54:15AM      3/30/2022      
10         15148      888        74104      11:07:35AM      3/30/2022      
11         15411      623        72325      11:20:54AM      3/30/2022      
12         15392      501        75510      11:34:16AM      3/30/2022      
13         15106      674        78202      11:47:35AM      3/30/2022      
14         15792      617        80709      12:00:56PM      3/30/2022      
15         11784      2195       77615      12:14:16PM      3/30/2022      
16         15770      672        78309      12:27:36PM      3/30/2022      
17         15185      4644       76752      12:40:58PM      3/30/2022      
18         2542440    583        176797     12:54:16PM      3/30/2022      
19         15764      560        75813      1:07:36PM       3/30/2022      
20         15146      5245       78149      1:20:56PM       3/30/2022      
21         15701      544        80932      1:34:16PM       3/30/2022      
22         21301      5974       76724      1:47:38PM       3/30/2022      
23         15124      5391       78953      2:00:58PM       3/30/2022      
24         15538      581        82845      2:14:18PM       3/30/2022      
25         15369      504        72983      2:27:37PM       3/30/2022      
26         15334      606        73691      2:40:56PM       3/30/2022      
27         15325      3273       73480      2:54:19PM       3/30/2022      
28         12739      529        71874      3:07:38PM       3/30/2022      
29         14990      3136       75483      3:20:58PM       3/30/2022      
30         15177      857        78285      3:34:18PM       3/30/2022      
31         15443      4892       82183      3:47:38PM       3/30/2022      
32         15375      608        77388      4:00:58PM       3/30/2022      
33         15498      894        79546      4:14:18PM       3/30/2022      
34         15744      514        83952      4:27:38PM       3/30/2022      
35         15510      957        78070      4:41:00PM       3/30/2022      
36         15775      545        84386      4:54:19PM       3/30/2022      
37         15353      527        87595      5:07:38PM       3/30/2022      
38         6109       683        1147048    5:20:58PM       3/30/2022      
39         10791      878        75023      5:34:18PM       3/30/2022      
40         15741      2774       75458      5:47:41PM       3/30/2022      
41         15445      2801       74895      6:01:00PM       3/30/2022      
42         15737      552        76338      6:14:20PM       3/30/2022      
43         15216      666        77576      6:27:39PM       3/30/2022      
44         15018      4693       78836      6:40:59PM       3/30/2022      
45         15313      3869       75713      6:54:19PM       3/30/2022      
46         14914      630        79321      7:07:39PM       3/30/2022      
47         15403      5338       84222      7:20:59PM       3/30/2022      
48         10398      624        71783      7:34:19PM       3/30/2022      
49         14377      612        76301      7:47:39PM       3/30/2022      
50         15360      535        80413      8:01:01PM       3/30/2022      
51         15495      750        81338      8:14:21PM       3/30/2022      
52         13130      4601       75718      8:27:41PM       3/30/2022      
53         13358      4410       77556      8:41:01PM       3/30/2022      
54         13541      625        81028      8:54:21PM       3/30/2022      
55         13631      561        80236      9:07:40PM       3/30/2022      
56         13862      4824       79786      9:21:00PM       3/30/2022      
57         14324      556        83570      9:34:22PM       3/30/2022      
58         2620429    531        180425     9:47:42PM       3/30/2022      
59         13345      3767       82585      10:01:02PM      3/30/2022      
60         13646      589        92644      10:14:22PM      3/30/2022      
61         13657      641        97534      10:27:42PM      3/30/2022      
62         13081      2871       76677      10:41:01PM      3/30/2022      
63         13292      681        79526      10:54:23PM      3/30/2022      
64         13689      652        83409      11:07:40PM      3/30/2022      
65         13315      3460       78205      11:21:00PM      3/30/2022      
66         13578      4194       84969      11:34:23PM      3/30/2022      
67         13517      5030       92959      11:47:40PM      3/30/2022      
68         33635      756        41791      12:01:03AM      3/31/2022      
69         13204      622        71586      12:14:20AM      3/31/2022      
70         13471      522        71351      12:27:42AM      3/31/2022      
71         11976      537        74926      12:41:02AM      3/31/2022      
72         13975      677        74468      12:54:22AM      3/31/2022      
73         13323      3219       76771      1:07:42AM       3/31/2022      
74         13344      521        80263      1:21:02AM       3/31/2022      
75         13749      3742       85500      1:34:22AM       3/31/2022      
76         13615      3985       98997      1:47:41AM       3/31/2022      
77         13679      526        109609     2:01:01AM       3/31/2022      
78         0          519        1174189    2:14:23AM       3/31/2022      
79         13574      6763       72903      2:27:42AM       3/31/2022      
80         13361      739        73439      2:41:02AM       3/31/2022      
81         13415      5983       73754      2:54:24AM       3/31/2022      
82         18656      5581       75096      3:07:44AM       3/31/2022      
83         13703      542        79033      3:21:03AM       3/31/2022      
84         13445      5930       89149      3:34:23AM       3/31/2022      
85         13593      8738       80825      3:47:43AM       3/31/2022      
86         13769      8687       93548      4:01:03AM       3/31/2022      
87         13347      8278       102622     4:14:23AM       3/31/2022      
88         10318      593        68293      4:27:43AM       3/31/2022      
89         13411      3425       77011      4:41:05AM       3/31/2022      
90         13597      4264       83152      4:54:24AM       3/31/2022      
91         13683      5059       90029      5:07:44AM       3/31/2022      
